,name,price,marque,modele,Transmission,Carburant,Annee,Kilométrage
0,Peugeot 301 très bon état,125 000 ,Peugeot , 301,22193320,5 CV,144000,Essence
1,BMW serie 5 a vendre,125 000 ,BMW , 520,Automatique,Essence,2017,80000
2,peugeot 301,25 000 ,Peugeot , 301,Manuelle,Essence,2018,78000
3,Golf 7 1.2 TSI,53 000 ,Volkswagen,,Manuelle,Essence,2016,115000
4,av mazda 2,37 000 ,Mazda , 2,Manuelle,Essence,2013,150000
5,205 JUNIOR,4 900 ,Peugeot , 205,,4 CV,1985,Essence
6,ford fiesta,26 000 ,Ford,,Manuelle,Essence,2010,121000
7,mercedes Benz GL 2016,125 000 ,Mercedes-Benz,,,Contacter l'annonceur,Manuelle,Rolan
8,a vendre 406,21 000 ,Peugeot,,,6 CV,310000,Diesel
9,Mazda bt 50 4×4,125 000 ,Mazda , BT-50,,becem13,160000,Manuelle
10,voiture en bonne état à vendre,4 600 ,BMW,,Manuelle,Diesel,2002,314500
11,belle polo7,125 000 ,Volkswagen , Polo,Manuelle,Essence,2010,195
12,av C2,16 500 ,Citroen , C2,Manuelle,Essence,2006,182000
13,chevrolet sonic,125 000 ,Chevrolet,,,,2017,Manuelle
14,BMW SERIE 1 F20 114I URBAN LINE,125 000 ,BMW , 114,,Contacter l'annonceur,Manuelle,haty2
15,KIA RIO,28 000 ,Kia,,,5 CV,2013,Essence
16,À VENDRE Haval H6 1 ère Main,90 000 ,Autres,,Automatique,Essence,2019,40000
17,Voiture AUDI Q7 Monastir,87 000 ,Audi , Q7,Automatique,Diesel,2007,60000
18,Belle Great Wall C30 2017,25 900 ,Autres , Autres,Manuelle,Essence,2017,190000
19,TIGGO 2,43 900 ,Chery,,Mammoud,Essence,2020,31000
20,une jolie voiture Citroën c-elysée,26 000 ,Citroen,,,5 CV,124000,Essence
21,SEAT LEON TSI,125 000 ,Seat , Leon,,,6 CV,Automatique
22,Mégane dci TomTom,125 000 ,Renault , Megane,,Med marouane,220000,Manuelle
23,Polo 5 confortline mta3 kasseb,125 000 ,Volkswagen , Polo,Mriwadoudi,4 CV,2002,205000
24,Vente seat Léon,56 000 ,Seat,,Manuelle,Essence,2018,96000
25,CITrOEN SAXO,125 000 ,Citroen , SAXO,,,4 CV,Manuelle
26,kia picanto,125 000 ,Kia , Picanto,,Aaaa132,2017,Manuelle
27,Peugeot 106,12 500 ,Peugeot,,Manuelle,Essence,1998,311000
28,Kia Rio sedan,33 000 ,Kia , Rio,,Essence,2016,139000
29,Chevrolet Cruze,36 000 ,Berline,,Bacem,7 CV,169000,Essence
30,Ford ranger,17 000 ,Ford,,,12 CV,2004,Diesel
31,Avendre Nissan Quashqai,125 000 ,Nissan , Qashqai,,Diesel,2016,99130
32,ford fiesta,125 000 ,Ford , Fiesta,,mbr13033,Manuelle,
33,citren,12 000 000 ,Citroen , SAXO,Contacter l'annonceur,Manuelle,4 CV,rouge
34,location kia picanto boite automatique,80 ,Kia , Picanto,Automatique,Essence,2020,311
35,406,10 800 ,Peugeot , 406,Manuelle,Essence,1999,270
36,A vendre fiat punto,23 000 ,Fiat , Punto,Manuelle,Essence,2013,160000
37,Bora TDI,19 000 ,Volkswagen,,Manuelle,Diesel,1999,295000
