iter	RMSE
0	28771.70242
1	28326.15153
2	27845.35563
3	27410.38002
4	26973.68301
5	26524.39787
6	26148.36871
7	25773.95508
8	25417.59585
9	25036.59844
10	24675.97201
11	24274.3898
12	23954.8518
13	23670.2049
14	23339.53544
15	22992.53664
16	22678.22824
17	22336.0777
18	21984.50674
19	21707.17124
20	21420.04755
21	21130.46325
22	20889.25984
23	20640.94773
24	20371.52077
25	20119.40236
26	19872.36157
27	19683.2878
28	19451.1901
29	19253.15182
30	19066.83559
31	18906.04459
32	18656.35636
33	18481.27713
34	18320.12632
35	18199.34763
36	18028.82537
37	17861.64105
38	17755.04923
39	17597.69587
40	17415.75327
41	17259.88988
42	17096.37432
43	16974.16887
44	16815.20917
45	16673.41207
46	16568.35721
47	16467.44679
48	16331.07332
49	16186.53895
50	16060.3799
51	15937.45308
52	15823.53184
53	15724.10285
54	15611.82391
55	15516.29506
56	15432.18129
57	15304.85048
58	15215.48999
59	15120.00775
60	15055.41043
61	14939.37231
62	14853.43158
63	14772.01046
64	14714.22085
65	14640.24741
66	14550.58844
67	14482.47292
68	14433.35042
69	14359.36547
70	14284.21862
71	14202.28902
72	14133.84252
73	14056.23038
74	13992.16042
75	13925.58069
76	13857.69757
77	13803.02317
78	13717.2115
79	13669.58135
80	13622.31582
81	13573.06948
82	13509.32535
83	13458.21252
84	13406.19925
85	13345.56852
86	13298.09549
87	13238.77807
88	13194.36863
89	13132.85239
90	13100.34296
91	13060.37819
92	13021.99243
93	12966.8135
94	12929.57446
95	12885.10633
96	12851.52284
97	12807.86397
98	12778.76253
99	12737.25511
100	12702.45377
101	12656.28613
102	12610.29789
103	12565.98707
104	12532.37651
105	12489.47988
106	12455.81774
107	12423.40608
108	12386.96868
109	12349.20762
110	12313.32034
111	12273.42474
112	12235.13549
113	12198.46182
114	12164.94526
115	12145.06953
116	12140.67976
117	12113.61528
118	12086.33141
119	12050.68622
120	12020.68824
121	11989.67984
122	11966.34531
123	11941.15377
124	11918.29544
125	11891.87959
126	11857.19219
127	11824.9632
128	11792.31571
129	11769.44706
130	11753.66063
131	11724.90892
132	11693.10613
133	11667.29283
134	11643.45815
135	11600.22072
136	11558.09777
137	11522.60636
138	11493.53247
139	11467.44724
140	11438.44473
141	11395.63805
142	11371.05033
143	11345.92829
144	11317.21381
145	11284.85311
146	11259.93716
147	11235.73293
148	11218.72374
149	11200.48128
150	11169.38684
151	11149.85809
152	11131.53889
153	11106.92701
154	11083.31971
155	11052.94217
